Index,Line_breaks,Indents,Bolded,Italicized,Underlined,"DR/CR, Entered Accounts",Calculated_Accounts,Inherited_Accounts,账本名称,Account_name,Formula,_{t1},_{t0},Commentary
SFP_A_FA_O_CNY_CUM_UGLΔFV,0,4,0,0,0,1,0,0,???CUM_GLΔFV,???CUM_GLΔFV,,,,
SFP_A_FA_O_HKD,0,3,0,0,0,0,1,0,??HKD,??HKD,,,,
SFP_A_FA_O_HKD_BV,0,4,0,0,0,1,0,0,???BV,???BV,,,,
SFP_A_FA_O_HKD_CUM_UGLΔFV,0,4,0,0,0,1,0,0,???CUM_GLΔFV,???CUM_GLΔFV,,,,
SFP_A_FA_O_USD,0,3,0,0,0,0,1,0,??USD,??USD,,,,
SFP_A_FA_O_USD_BV,0,4,0,0,0,1,0,0,???BV,???BV,,,,
SFP_A_FA_O_USD_CUM_UGLΔFV,0,4,0,0,0,1,0,0,???CUM_GLΔFV,???CUM_GLΔFV,,,,
,,,,,,,,,,,,,,
SFP_A,1,0,0,0,0,0,1,0,资产总计,Total assets,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SFP_L,2,0,0,0,0,0,1,0,负债,Liabilities,,,,
,,,,,,,,,,,,,,
SFP_L_DTB,1,1,0,0,0,0,1,0,掮客欠款,Due to brokers,,,,
SFP_L_DTB_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SFP_L_DTB_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SFP_L_DTB_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SFP_L_DTB_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SFP_L_AP,1,1,0,0,0,0,1,0,应付项,Payables,,,,
SFP_L_AP_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SFP_L_AP_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SFP_L_AP_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SFP_L_AP_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SFP_L_FL,1,1,0,0,0,0,1,0,金融负债 @FVTPL,Financial liabiltiies @FVTPL,,,,
SFP_L_FL_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SFP_L_FL_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SFP_L_FL_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SFP_L_FL_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SFP_L,1,0,1,0,0,0,1,0,负债总计,Total liabilities,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SFP_NAATS,2,0,1,0,0,0,1,0,归属于所有者净资产,Net assets attributable to shareholders,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCI,4,0,1,0,1,-,-,-,综合损益表,Statement of Comprehensive Income,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCI_I,2,0,1,0,0,0,1,0,收入,Income,,,,
,,,,,,,,,,,,,,
SCI_I_II,1,1,0,0,0,0,1,0,?利息收入,?Interest income,,,,
SCI_I_II_CAD,0,2,0,0,0,1,0,0,??CAD,??CAD,,,,
SCI_I_II_CNY,0,2,0,0,0,1,0,0,??CNY,??CNY,,,,
SCI_I_II_HKD,0,2,0,0,0,1,0,0,??HKD,??HKD,,,,
SCI_I_II_USD,0,2,0,0,0,1,0,0,??USD,??USD,,,,
,,,,,,,,,,,,,,
SCI_I_DI,1,1,0,0,0,0,1,0,?股息收入,?Dividend income,,,,
SCI_I_DI_CAD,0,2,0,0,0,1,0,0,??CAD,??CAD,,,,
SCI_I_DI_CNY,0,2,0,0,0,1,0,0,??CNY,??CNY,,,,
SCI_I_DI_HKD,0,2,0,0,0,1,0,0,??HKD,??HKD,,,,
SCI_I_DI_USD,0,2,0,0,0,1,0,0,??USD,??USD,,,,
,,,,,,,,,,,,,,
SCI_I_RGLFA,1,1,0,0,0,0,1,0,?金融资产净已实现收益,?Realized gain(loss) on financial assets,,,,see Investment Schedule
SCI_I_RGLFA_CAD,0,2,0,0,0,1,0,0,??CAD,??CAD,,,,"Compute at last period's exchange rate to isolate effect of changes in fair value, despite name account is stated in HKD (presentation currency)"
SCI_I_RGLFA_CNY,0,2,0,0,0,1,0,0,??CNY,??CNY,,,,"Compute at last period's exchange rate to isolate effect of changes in fair value, despite name account is stated in HKD (presentation currency)"
SCI_I_RGLFA_HKD,0,2,0,0,0,1,0,0,??HKD,??HKD,,,,
SCI_I_RGLFA_USD,0,2,0,0,0,1,0,0,??USD,??USD,,,,"Compute at last period's exchange rate to isolate effect of changes in fair value, despite name account is stated in HKD (presentation currency)"
,,,,,,,,,,,,,,
SCI_I,1,0,1,0,0,0,1,0,收入总计,Total income,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCI_E,2,0,1,0,0,0,1,0,成本,Expenses,,,,
,,,,,,,,,,,,,,
SCI_E_MF,1,1,0,0,0,0,1,0,管理费用,Management fees,,,,
SCI_E_MF_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCI_E_MF_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCI_E_MF_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCI_E_MF_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCI_E_AF,1,1,0,0,0,0,1,0,行政费用,Administration fees,,,,
SCI_E_AF_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCI_E_AF_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCI_E_AF_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCI_E_AF_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCI_E_TF,1,1,0,0,0,0,1,0,交易费用,Transaction fees,,,,
SCI_E_TF_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCI_E_TF_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCI_E_TF_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCI_E_TF_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCI_E_OF,1,1,0,0,0,0,1,0,其他费用,Other fees,,,,
SCI_E_OF_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCI_E_OF_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCI_E_OF_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCI_E_OF_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCI_E,1,0,1,0,0,0,1,0,成本总计,Total expenses,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCI_PFOA,2,0,1,0,0,0,1,0,经营活动产生的利润,Profit from operating activities,SCI_I - SCI_E,,,
,,,,,,,,,,,,,,
SCI_FCD,1,1,0,1,0,0,1,0,筹资成本 - 分配,Finance costs - distributions,,,,
SCI_FCD_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCI_FCD_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCI_FCD_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCI_FCD_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCI_XRPLFXC,1,1,0,1,0,1,0,0,汇兑损益,Net gain(loss) from foreign exchange conversion,Accumulate ledger,,,"(actual cash money being converted), in HKD (presentation currency), connected to SCF_XRPLFXC"
,,,,,,,,,,,,,,
SCI_ΔNABTOCI,1,0,1,0,0,0,1,0,属于所有者的税前净资产变动,Change in net assets attributable to shareholders before tax and OCI adj,SCI_PFOA - SCI_ΔNABT,,,
,,,,,,,,,,,,,,
SCI_TWT,1,1,0,0,0,0,1,0,税 - 预扣税,Tax - withholding tax,,,,
SCI_TWT_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCI_TWT_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCI_TWT_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCI_TWT_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCI_OCI_UGLFA_ΔFV,1,1,0,1,0,0,1,0,金融资产未实现损益 @FVOCI,Unrealized gain(loss) from FA FV Adjustments (FVOCI),,,,"see Investment Schedule; when selling out of a security, the cumulative UGL is subtracted out of this line. Even though it distorts the income statement, the SCNAV is not effected, nor is tax treatment."
SCI_OCI_UGLFA_ΔFV_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCI_OCI_UGLFA_ΔFV_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCI_OCI_UGLFA_ΔFV_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCI_OCI_UGLFA_ΔFV_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCI_ΔNAAT,2,0,1,0,0,0,1,0,属于所有者的税后净资产变动,Change in net assets attributable to shareholders after tax and OCI adj,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCF,4,0,1,0,1,-,-,-,现金流量表,Statement of Cash Flows,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCF_OA,2,0,0,0,0,0,1,0,经营活动产生的现金流量,Cashflow from operating activities,,,,
,,,,,,,,,,,,,,
